filename,tps,innodb_thread_concurrency,thread_cache_size,max_connections,query_cache_size,sort_buffer_size,join_buffer_size,tmp_table_size,innodb_purge_threads,innodb_read_io_threads,innodb_write_io_threads,optimizer_search_depth,cpu,innodb_buffer_pool_size,key_buffer_size,innodb_io_capacity,innodb_io_capacity_max,sync_binlog,open_files_limit,table_open_cache,readIO,writeIO,IO
history_oltpbench_tatp_smac.json,33133.192753626914,343,0,3055,1038713,123469601,342637655,16777216,4,57,44,62,46.043088235023305,21722955984,7228390917,928,415,4188132351,164164,2000,0.0,0.0,0.0
history_oltpbench_tatp_smac_ground_truth.json,35795.94395632932,906,10265,20500,440515384,106238496,939211783,348912755,3,24,2,48,48.53077205853803,29326266983,8883083046,796572,37522,3641866140,491483,91062,0.0,0.0,0.0
history_oltpbench_tpcc_smac.json,6219.783657221528,104,9424,3584,1329921489,13951743,838474387,330803439,15,37,35,25,1.2295404411692346,13472135575,13535156186,1153295,402,4030807612,642263,137286,0.0,0.0,0.0
history_oltpbench_tpcc_smac_ground_truth.json,8740.807691945249,80,13996,771,610854592,106616818,85714858,608123660,4,26,53,53,5.88124999996539,12569836170,16126574049,1323658,39996,1643845819,618971,75446,0.0,0.0,0.0
history_oltpbench_twitter_smac.json,45027.487127786626,89,0,22993,1038713,123469601,342637655,16777216,4,57,44,62,48.649264705596195,18614729467,7228390917,481,256,4188132351,164164,2000,0.0,0.0,0.0
history_oltpbench_twitter_smac_ground_truth.json,44818.11732507535,962,10887,51993,1083667200,83440311,217729378,841384186,15,49,58,19,48.85047794088909,25748017080,9451971616,1370480,22900,608584266,258343,245263,0.0,0.0,0.0
history_oltpbench_voter_smac.json,12208.194148326782,9,15738,27943,565252133,104693987,178231470,487845843,3,23,16,41,8.738308823478,31872447303,1207202191,318436,21141,3972790512,241566,58997,0.0,0.0,0.0
history_oltpbench_voter_smac_ground_truth.json,12225.925763486566,775,8715,85054,1809296408,17713118,114956801,547307515,27,63,13,48,9.042794117593852,32619473066,8428373618,426948,31858,515389034,150243,21237,0.0,0.0,0.0
history_oltpbench_wikipedia_smac.json,643.2879732506569,160,0,44925,1048576,262144,262144,16777216,4,4,4,62,28.468124999832533,23665546093,248063605,200,928,1,50000,2000,0.0,0.0,0.0
history_oltpbench_wikipedia_smac_ground_truth.json,642.1051485821779,0,0,1000,1048576,262144,262144,16777216,4,4,4,62,28.46202205865612,20615843020,8388608,200,400,1,50000,2000,0.0,0.0,0.0
history_oltpbench_ycsb_smac_ground_truth.json,17526.308795418096,938,16208,11024,1600113001,9965047,666033587,869859488,9,54,6,17,57.311249999662884,17142036313,16058037050,1662842,33284,94891855,570580,233802,0.0,0.0,0.0
history_sbread_smac.json,6510.839444444446,123,0,37203,1048576,262144,931359441,16777216,4,4,37,19,78.2288602936576,30141504025,160949719,1778255,852,1,610475,2000,0.0,0.0,0.0
history_sbread_smac_ground_truth.json,6336.228333333334,881,14706,96150,1971534409,5480104,806364676,766583956,32,31,5,43,78.90180147012428,32963329765,14902289882,1076690,15212,400856550,558283,168949,0.0,0.0,0.0
history_sbrw_smac_ground_truth.json,744.8127777777778,359,14889,70897,1092010365,10297163,844379153,1060893137,31,17,20,25,82.1488235289284,27873455233,6193992207,617773,37262,4236354043,185180,139113,0.0,0.0,0.0
history_sbwrite_smac.json,3750.6800000000003,204,0,63244,1038713,123469601,342637655,16777216,4,57,44,62,26.498124999844144,27991355540,7228390917,200,105,4188132351,164164,2000,0.0,0.0,0.0
history_sbwrite_smac_ground_truth.json,3323.671666666667,77,6877,93129,239762811,40456196,364824557,970949582,14,22,2,46,49.78029411735419,27213982045,8073662585,654759,38904,2236129023,277753,216839,0.0,0.0,0.0
history_task10_ddpg.json,35.34259231596845,245,,92898,,,,,,,,,15.437219827489779,34358595789,,,,,,,0.0,3.4163818359161477,3.4163818359161477
history_task10_ga.json,35.34259231596845,0,,99980,,,,,,,,,17.50025334264495,33318498919,,,,,,,0.0,2.6360809948872,2.6360809948872
history_task10_mbo.json,35.34259231596845,47,,1427,,,,,,,,,19.973145245438037,13336131634,,,,,,,0.0,3.7516335227045357,3.7516335227045357
history_task10_smac.json,35.34259231596845,170,,89729,,,,,,,,,15.437672413696676,23632311705,,,,,,,0.0,3.3918457031038014,3.3918457031038014
history_task11_ddpg.json,830075.4007667694,12,,33884,,,,,,,,,81.65062499931953,17845603225,,,,,,,0.0,0.00042317708332980687,0.00042317708332980687
history_task11_ga.json,828997.9140033837,10,,99083,,,,,,,,,70.11713541608233,27161271501,,,,,,,0.0,0.00039062499999674476,0.00039062499999674476
history_task11_mbo.json,896285.561764019,8,,8626,,,,,,,,,60.28354166616428,10556121865,,,,,,,0.0,0.00042317708332980687,0.00042317708332980687
history_task11_smac.json,824062.8895057997,11,,31975,,,,,,,,,72.50901041606245,29623898112,,,,,,,0.0,0.00042317708332980687,0.00042317708332980687
history_task12_ddpg.json,8.596399063947658,0,,1925,,,846800,,,3,2,,15.284091953921147,23863975731,5551628,,2237,,,,0.0,4.870755208300862,4.870755208300862
history_task12_ga.json,8.434355943208669,0,,10520,,,262144,,,1,1,,16.62296551713061,20011535564,187168839,,138,,,,0.0,2.891562499980723,2.891562499980723
history_task12_mbo.json,8.5129885267143,779,,79366,,,210001047,,,58,59,,15.680965517136894,27302465331,7612142596,,166,,,,0.0,0.0001302083333324653,0.0001302083333324653
history_task12_smac.json,8.449405929645552,60,,1207,,,25144,,,5,2,,15.933264367709924,19074915225,58197,,106,,,,0.0,4.072890624972848,4.072890624972848
history_task13_ddpg.json,948.3008283043044,0,,,,,,,,,,,62.414973261464546,,5453543941,,,,,,0.0,0.0,0.0
history_task13_ga.json,1062.7600110680203,18,,,,,,,,,,,66.9241896751874,,130203191,,,,,,0.0,0.0,0.0
history_task13_mbo.json,1124.5381553779337,15,,,,,,,,,,,66.37185325671832,,37667083,,,,,,0.0,0.0,0.0
history_task13_smac.json,1053.3444117907388,18,,,,,,,,,,,69.3913250141535,,315022055,,,,,,0.0,0.0,0.0
history_task14_ddpg.json,4728.7119999999995,,,,,,,,,,,,85.50781249928737,22620039577,,2643,100,,,,275.1358723935405,368.84430338234296,643.9801757758835
history_task14_ga.json,4655.076,,,,,,,,,,,,90.01088541591652,13702891314,,3017,2040,,,,49.230436197506414,497.8911458291842,547.1215820266906
history_task14_mbo.json,6057.267333333332,,,,,,,,,,,,98.49093749917932,20578140876,,18547,7918,,,,0.0,326.33574218478054,326.33574218478054
history_task14_smac.json,4258.808666666667,,,,,,,,,,,,97.6965104158526,20615843020,,200,19914,,,,0.0,369.0717122365077,369.0717122365077
history_task15_ddpg.json,693.3975732716417,103,,18449,2130669440,133458274,,,,,,,60.869747898616026,,,,,,,,0.0,0.0,0.0
history_task15_ga.json,715.7127274911842,18,,302,396459712,17738642,,,,,,,59.27162309313301,,,,,,,,0.0,0.0,0.0
history_task15_mbo.json,780.2837706469944,16,,407,1848088832,791773,,,,,,,63.93891859709626,,,,,,,,0.0,0.0,0.0
history_task15_smac.json,743.9243274607193,20,,24123,1426377856,33403733,,,,,,,63.568665157759746,,,,,,,,0.0,0.0,0.0
