[INFO] [2024-11-19 12:46:16,906] [DBTune-sysbench_mbo_18] Start new DBTune task
[INFO] [2024-11-19 12:46:17,049] [BO_Optimizer] === [BO auto selection] === acq_type: ei.
[INFO] [2024-11-19 12:46:17,075] [autotune] [step 1] generate knobs: {'general_log': 'OFF', 'innodb_buffer_pool_size': 13958643712, 'innodb_doublewrite': 'ON', 'innodb_io_capacity_max': 400, 'innodb_log_file_size': 50331648, 'innodb_max_dirty_pages_pct_lwm': 0, 'innodb_purge_threads': 4, 'innodb_random_read_ahead': 'OFF', 'innodb_read_ahead_threshold': 56, 'innodb_spin_wait_delay': 6, 'innodb_sync_spin_loops': 30, 'innodb_thread_concurrency': 0, 'log_output': 'FILE', 'max_heap_table_size': 16777216, 'query_prealloc_size': 8192, 'read_buffer_size': 131072, 'sort_buffer_size': 262144, 'tmp_table_size': 16777216}

[INFO] [2024-11-19 12:46:17,213] [autotune] mysql is shut down
[INFO] [2024-11-19 12:46:17,219] [autotune] generated config file done
[INFO] [2024-11-19 12:46:17,277] [autotune] wait for connection
[INFO] [2024-11-19 12:46:25,478] [autotune] Connected to MySQL db
[INFO] [2024-11-19 12:46:25,479] [autotune] finish 8 seconds waiting for connection
[INFO] [2024-11-19 12:46:25,480] [autotune] /usr/sbin/mysqld --defaults-file=scripts/template/experiment_normandy.cnf
[INFO] [2024-11-19 12:46:25,480] [autotune] mysql is up
[INFO] [2024-11-19 12:46:25,480] [autotune] sleeping for 5 seconds after restarting mysql
[INFO] [2024-11-19 12:46:31,447] [autotune] [DBG]. bash /usr/local/lib/python3.8/dist-packages/autotune/cli/run_sysbench.sh write localhost 3306 root password 150 800000 10 80 180 ./log/1732020391.log sbrw
[INFO] [2024-11-19 12:49:44,058] [autotune] internal metrics: [9.2, 772655.4285714285, 3921216892.3428574, 718475966.1714286, 10075.314285714287, 239569.3142857143, 12292.514285714286, 5737320565.028571, 4622430090.971429, 350172.65714285715, 282125.1142857143, 501621.71428571426, 156.97142857142856, 851968.0, 0.0, 0.0, 4054330.9142857143, 237497.34285714285, 13958643712.0, 0.0, 1792281.5714285714, 76364.6, 76363.28571428571, 152711.45714285714, 177.0, 18556.4, 237.88571428571427, 21670.6, 0.0, 0.0, 0.0, 0.0, 5.914285714285715, 85893.82857142857, 12292.514285714286, 927.8857142857142, 16384.0, 27732.085714285713, 51240.05714285714, 0.0, 672.9142857142857, 23439.628571428573, 822.0857142857143, 9140.857142857143, 121562.22857142857, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 102467349.94285715, 0.0, 515364.9428571428, 64292.885714285716, 4663.085714285714, 238810.9714285714, 77561.91428571429, 315083702.85714287, 226.05714285714285, 0.0, 0.6571428571428571, 63251.885714285716].
[INFO] [2024-11-19 12:49:44,082] [DBTune-sysbench_mbo_18] Iteration 1, objective value: [-703.1188888888888].
[INFO] [2024-11-19 12:49:44,088] [autotune] [step 2] generate knobs: {'general_log': 'ON', 'innodb_buffer_pool_size': 11614586188, 'innodb_doublewrite': 'OFF', 'innodb_io_capacity_max': 24356, 'innodb_log_file_size': 822273300, 'innodb_max_dirty_pages_pct_lwm': 81, 'innodb_purge_threads': 23, 'innodb_random_read_ahead': 'ON', 'innodb_read_ahead_threshold': 33, 'innodb_spin_wait_delay': 4935, 'innodb_sync_spin_loops': 12926, 'innodb_thread_concurrency': 897, 'log_output': 'TABLE', 'max_heap_table_size': 964254631, 'query_prealloc_size': 32685838, 'read_buffer_size': 1990788327, 'sort_buffer_size': 8119745, 'tmp_table_size': 1003343111}

[INFO] [2024-11-19 12:50:44,377] [autotune] Force close!
[INFO] [2024-11-19 12:50:44,772] [autotune] mysql is shut down
[INFO] [2024-11-19 12:50:44,777] [autotune] generated config file done
[INFO] [2024-11-19 12:50:44,862] [autotune] wait for connection
[INFO] [2024-11-19 12:51:16,237] [autotune] 2002: Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2 No such file or directory)
[INFO] [2024-11-19 12:51:17,243] [autotune] 2002: Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2 No such file or directory)
[INFO] [2024-11-19 12:51:18,246] [autotune] 2002: Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2 No such file or directory)
[INFO] [2024-11-19 12:51:19,279] [autotune] 2002: Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2 No such file or directory)
[INFO] [2024-11-19 12:51:20,286] [autotune] 2002: Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2 No such file or directory)
[INFO] [2024-11-19 12:51:21,292] [autotune] 2002: Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2 No such file or directory)
[INFO] [2024-11-19 12:51:22,295] [autotune] 2002: Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2 No such file or directory)
[INFO] [2024-11-19 12:51:23,298] [autotune] 2002: Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2 No such file or directory)
[INFO] [2024-11-19 12:51:24,305] [autotune] 2002: Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2 No such file or directory)
[INFO] [2024-11-19 12:51:25,311] [autotune] 2002: Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2 No such file or directory)
[INFO] [2024-11-19 12:51:26,318] [autotune] 2002: Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2 No such file or directory)
