[INFO] [2024-11-21 14:45:03,987] [DBTune-ycsb_ga_7] Start new DBTune task
[INFO] [2024-11-21 14:45:04,016] [autotune] [step 1] generate knobs: {'binlog_cache_size': 1608640123, 'completion_type': 'NO_CHAIN', 'innodb_log_file_size': 200386528, 'innodb_thread_concurrency': 780, 'lower_case_table_names': 1, 'max_allowed_packet': 478709841, 'transaction_alloc_block_size': 14025}

[INFO] [2024-11-21 14:45:04,058] [autotune] mysql is shut down
[INFO] [2024-11-21 14:45:04,059] [autotune] modify innodb_thread_concurrency
[INFO] [2024-11-21 14:45:04,061] [autotune] generated config file done
[INFO] [2024-11-21 14:45:04,094] [autotune] wait for connection
[INFO] [2024-11-21 14:45:17,134] [autotune] Connected to MySQL db
[INFO] [2024-11-21 14:45:17,135] [autotune] finish 13 seconds waiting for connection
[INFO] [2024-11-21 14:45:17,135] [autotune] /usr/sbin/mysqld --defaults-file=scripts/template/experiment_normandy.cnf
[INFO] [2024-11-21 14:45:17,135] [autotune] mysql is up
[INFO] [2024-11-21 14:45:17,135] [autotune] sleeping for 5 seconds after restarting mysql
[INFO] [2024-11-21 14:45:22,156] [autotune] [2024-11-21 14:45:22] Knobs applied online!
[INFO] [2024-11-21 14:45:22,538] [autotune] [DBG]. bash /root/OpAdviserPrivate/autotune/cli/run_oltpbench.sh ycsb /oltpbench/config/sample_ycsb_config.xml 1732200322
[INFO] [2024-11-21 14:49:23,437] [autotune] internal metrics: [0.0, 1311745.2, 9004443706.514286, 726755503.5428572, 3825.885714285714, 549765.7142857143, 12561.942857142858, 7410741130.971429, 779055923.2, 452315.7428571429, 47549.8, 334016.22857142857, 4.0285714285714285, 786336.0, 2819.1428571428573, 0.0, 12099552.17142857, 546822.3714285714, 12884901888.0, 0.0, 1065222.0, 23251.02857142857, 47149.34285714286, 45361.91428571429, 20.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 119347.0, 12562.6, 156.4, 16384.0, 30.885714285714286, 11438.885714285714, 0.0, 3.2857142857142856, 599022.5142857142, 1781.5142857142857, 3.2857142857142856, 209246.77142857143, 0.0, 0.0, 0.0, 402.1714285714286, 11.714285714285714, 63.628571428571426, 26.942857142857143, 0.0, 86551917.71428572, 0.0, 673417.6571428571, 41461.114285714284, 41802.171428571426, 549692.7714285714, 54335.2, 315114993.37142855, 41460.45714285714, 0.6571428571428571, 0.0, 604.0857142857143].
[INFO] [2024-11-21 14:49:23,439] [DBTune-ycsb_ga_7] Iteration 1, objective value: [-10773.584052200025].
[INFO] [2024-11-21 14:49:23,602] [autotune] [step 2] generate knobs: {'binlog_cache_size': 1972461187, 'completion_type': 'NO_CHAIN', 'innodb_log_file_size': 647115374, 'innodb_thread_concurrency': 708, 'lower_case_table_names': 0, 'max_allowed_packet': 1041432805, 'transaction_alloc_block_size': 109282}

[INFO] [2024-11-21 14:50:23,696] [autotune] Force close!
[INFO] [2024-11-21 14:50:23,791] [autotune] mysql is shut down
[INFO] [2024-11-21 14:50:23,796] [autotune] generated config file done
[INFO] [2024-11-21 14:50:23,830] [autotune] wait for connection
