key,times,proportion
innodb_spin_wait_delay,59,0.0
back_log,58,0.017241379310344827
binlog_group_commit_sync_delay,47,0.0
binlog_stmt_cache_size,51,0.0
bulk_insert_buffer_size,49,0.2653061224489796
eq_range_index_dive_limit,43,0.0
group_concat_max_len,41,0.0
innodb_adaptive_hash_index_parts,65,0.015384615384615385
innodb_adaptive_max_sleep_delay,39,0.23076923076923078
innodb_buffer_pool_size,64,0.234375
innodb_ft_cache_size,27,0.037037037037037035
innodb_ft_num_word_optimize,16,0.1875
innodb_log_file_size,61,0.32786885245901637
innodb_max_purge_lag_delay,11,0.0
innodb_thread_concurrency,54,0.18518518518518517
max_connections,48,0.5416666666666666
binlog_group_commit_sync_no_delay_count,39,0.0
ft_query_expansion_limit,26,0.5384615384615384
host_cache_size,36,0.0
binlog_cache_size,46,0.021739130434782608
connect_timeout,27,0.0
innodb_api_bk_commit_interval,28,0.0
default_week_format,2,0.0
div_precision_increment,12,0.25
innodb_change_buffer_max_size,6,0.0
innodb_log_buffer_size,34,0.0
expire_logs_days,4,0.0
innodb_log_write_ahead_size,7,0.14285714285714285
innodb_concurrency_tickets,8,0.0
innodb_flush_log_at_timeout,15,0.0
innodb_max_dirty_pages_pct,3,0.0
innodb_adaptive_flushing_lwm,2,0.5
innodb_ft_min_token_size,3,0.0
innodb_open_files,3,0.0
innodb_sort_buffer_size,10,0.0
ft_min_word_len,1,0.0
innodb_lru_scan_depth,5,0.0
innodb_sync_spin_loops,20,0.0
innodb_thread_sleep_delay,4,0.0
max_binlog_cache_size,4,0.25
max_join_size,1,0.0
innodb_ft_total_cache_size,13,0.0
innodb_commit_concurrency,3,0.0
max_length_for_sort_data,8,0.0
max_points_in_geometry,8,0.375
net_buffer_length,5,0.8
max_error_count,3,0.0
innodb_io_capacity_max,2,0.0
innodb_max_purge_lag,1,0.0
innodb_purge_batch_size,1,0.0
key_buffer_size,1,0.0
key_cache_age_threshold,1,0.0
max_digest_length,2,0.0
max_heap_table_size,1,0.0
multi_range_count,1,0.0
query_cache_size,1,0.0
query_prealloc_size,1,0.0
