key,times,proportion
innodb_spin_wait_delay,66,0.24242424242424243
back_log,42,0.3333333333333333
binlog_cache_size,47,0.7872340425531915
binlog_group_commit_sync_delay,43,0.0
binlog_group_commit_sync_no_delay_count,26,0.0
binlog_stmt_cache_size,39,0.0
bulk_insert_buffer_size,54,0.0
connect_timeout,3,0.0
div_precision_increment,3,1.0
eq_range_index_dive_limit,22,0.045454545454545456
expire_logs_days,1,0.0
ft_query_expansion_limit,13,0.3076923076923077
group_concat_max_len,27,0.0
host_cache_size,16,0.0
innodb_adaptive_flushing_lwm,2,0.0
innodb_adaptive_hash_index_parts,65,1.0
innodb_adaptive_max_sleep_delay,36,0.0
innodb_api_bk_commit_interval,20,0.0
innodb_autoextend_increment,1,1.0
innodb_buffer_pool_size,65,0.046153846153846156
innodb_change_buffer_max_size,4,0.0
innodb_commit_concurrency,1,0.0
innodb_concurrency_tickets,4,0.5
innodb_flush_log_at_timeout,27,0.07407407407407407
innodb_ft_cache_size,18,0.0
innodb_ft_num_word_optimize,18,0.05555555555555555
innodb_ft_total_cache_size,25,0.24
innodb_io_capacity_max,7,0.0
innodb_log_buffer_size,50,0.34
innodb_log_file_size,62,0.5161290322580645
innodb_log_write_ahead_size,2,0.0
innodb_max_purge_lag_delay,17,0.0
innodb_thread_concurrency,65,0.03076923076923077
max_connections,62,0.9354838709677419
innodb_max_dirty_pages_pct,16,0.25
innodb_sort_buffer_size,14,0.0
innodb_sync_spin_loops,34,0.47058823529411764
max_binlog_cache_size,9,0.0
net_buffer_length,17,0.4117647058823529
innodb_ft_min_token_size,1,1.0
innodb_lru_scan_depth,9,0.2222222222222222
innodb_flushing_avg_loops,3,0.0
innodb_ft_result_cache_limit,2,0.0
max_length_for_sort_data,5,0.0
max_points_in_geometry,5,0.6
innodb_thread_sleep_delay,3,0.0
key_cache_age_threshold,2,0.0
