key,times,proportion
innodb_adaptive_hash_index_parts,66,0.0
innodb_spin_wait_delay,64,0.0
back_log,56,0.7142857142857143
binlog_cache_size,49,0.1836734693877551
binlog_group_commit_sync_delay,58,0.0
binlog_group_commit_sync_no_delay_count,34,0.11764705882352941
binlog_stmt_cache_size,50,0.0
bulk_insert_buffer_size,57,0.6666666666666666
connect_timeout,23,0.0
eq_range_index_dive_limit,52,0.0
group_concat_max_len,48,0.16666666666666666
host_cache_size,44,0.0
innodb_adaptive_max_sleep_delay,59,0.1016949152542373
innodb_api_bk_commit_interval,40,0.2
innodb_buffer_pool_size,65,0.9538461538461539
innodb_ft_cache_size,49,1.0
innodb_log_buffer_size,62,0.3225806451612903
innodb_log_file_size,65,0.7538461538461538
max_connections,63,0.4444444444444444
ft_query_expansion_limit,30,0.0
div_precision_increment,7,0.0
innodb_adaptive_flushing_lwm,11,0.0
innodb_log_write_ahead_size,18,0.0
innodb_flush_log_at_timeout,51,0.5294117647058824
innodb_thread_concurrency,62,0.6451612903225806
innodb_sync_spin_loops,52,0.34615384615384615
net_buffer_length,26,0.11538461538461539
innodb_concurrency_tickets,30,0.0
innodb_ft_total_cache_size,43,0.0
innodb_io_capacity_max,39,0.6410256410256411
innodb_lru_scan_depth,35,0.0
innodb_max_dirty_pages_pct,21,0.0
innodb_max_purge_lag_delay,52,0.0
innodb_autoextend_increment,3,0.0
innodb_change_buffer_max_size,12,0.75
innodb_commit_concurrency,20,0.0
innodb_fill_factor,2,0.0
innodb_flushing_avg_loops,24,0.25
innodb_ft_min_token_size,1,1.0
innodb_ft_num_word_optimize,50,0.24
innodb_ft_result_cache_limit,23,0.0
innodb_io_capacity,2,0.0
innodb_sort_buffer_size,39,0.0
innodb_thread_sleep_delay,29,0.0
key_buffer_size,20,0.0
key_cache_age_threshold,6,0.0
max_digest_length,11,0.0
max_error_count,19,0.05263157894736842
max_heap_table_size,6,0.16666666666666666
innodb_open_files,9,0.0
innodb_replication_delay,9,0.0
max_length_for_sort_data,29,0.0
max_points_in_geometry,26,0.0
innodb_max_purge_lag,19,0.0
max_binlog_cache_size,16,0.0
innodb_purge_batch_size,17,0.0
max_prepared_stmt_count,10,0.0
multi_range_count,11,0.0
query_prealloc_size,7,0.14285714285714285
innodb_old_blocks_time,9,0.0
max_allowed_packet,3,0.0
max_seeks_for_key,3,0.0
query_cache_limit,1,0.0
query_cache_min_res_unit,2,0.0
query_cache_size,5,0.0
max_sort_length,4,0.0
max_user_connections,3,0.0
innodb_ft_max_token_size,8,0.0
innodb_max_undo_log_size,8,0.0
expire_logs_days,2,0.0
sort_buffer_size,2,0.0
ft_min_word_len,1,0.0
max_binlog_stmt_cache_size,2,0.0
max_delayed_threads,2,0.0
join_buffer_size,2,0.0
key_cache_block_size,2,0.0
max_binlog_size,2,0.0
max_join_size,1,0.0
open_files_limit,1,0.0
preload_buffer_size,1,0.0
