key,times,proportion
innodb_adaptive_hash_index_parts,67,0.0
innodb_spin_wait_delay,64,0.84375
back_log,60,0.11666666666666667
binlog_cache_size,58,0.08620689655172414
binlog_group_commit_sync_delay,57,0.0
binlog_group_commit_sync_no_delay_count,49,0.02040816326530612
binlog_stmt_cache_size,52,0.0
bulk_insert_buffer_size,66,0.9848484848484849
connect_timeout,41,0.0
div_precision_increment,14,0.9285714285714286
eq_range_index_dive_limit,50,0.4
expire_logs_days,5,0.0
flush_time,1,0.0
ft_query_expansion_limit,26,0.0
group_concat_max_len,47,0.0425531914893617
host_cache_size,35,0.0
innodb_adaptive_max_sleep_delay,48,0.0
innodb_api_bk_commit_interval,35,0.0
innodb_autoextend_increment,1,0.0
innodb_buffer_pool_size,66,0.07575757575757576
innodb_change_buffer_max_size,4,0.0
innodb_commit_concurrency,1,0.0
innodb_concurrency_tickets,14,0.0
innodb_fill_factor,1,0.0
innodb_flush_log_at_timeout,24,0.625
innodb_flushing_avg_loops,2,0.0
innodb_ft_cache_size,24,0.0
innodb_ft_max_token_size,1,0.0
innodb_ft_min_token_size,1,0.0
innodb_ft_num_word_optimize,16,0.1875
innodb_ft_result_cache_limit,2,0.0
innodb_ft_total_cache_size,18,0.0
innodb_io_capacity,1,0.0
innodb_io_capacity_max,2,0.0
innodb_log_buffer_size,39,0.23076923076923078
innodb_log_file_size,58,0.1896551724137931
innodb_log_write_ahead_size,3,0.3333333333333333
innodb_lru_scan_depth,12,0.25
innodb_max_purge_lag,1,0.0
innodb_max_purge_lag_delay,9,0.0
innodb_max_undo_log_size,1,0.0
innodb_open_files,1,0.0
innodb_thread_concurrency,61,0.3442622950819672
max_connections,59,0.6610169491525424
innodb_sync_spin_loops,24,0.5416666666666666
innodb_max_dirty_pages_pct,11,0.8181818181818182
innodb_purge_batch_size,2,0.0
innodb_sort_buffer_size,6,0.0
max_binlog_cache_size,5,0.0
multi_range_count,1,0.0
net_buffer_length,9,0.4444444444444444
innodb_adaptive_flushing_lwm,2,0.0
default_week_format,1,1.0
