key,times,proportion
innodb_adaptive_hash_index_parts,66,0.0
innodb_spin_wait_delay,63,0.15873015873015872
back_log,59,0.0
binlog_cache_size,57,0.07017543859649122
binlog_group_commit_sync_delay,56,0.0
binlog_group_commit_sync_no_delay_count,48,0.0
binlog_stmt_cache_size,51,0.058823529411764705
bulk_insert_buffer_size,65,0.015384615384615385
connect_timeout,40,0.0
div_precision_increment,13,0.23076923076923078
eq_range_index_dive_limit,49,0.0
expire_logs_days,5,0.0
flush_time,1,0.0
ft_query_expansion_limit,25,0.0
group_concat_max_len,46,0.06521739130434782
host_cache_size,34,0.0
innodb_adaptive_max_sleep_delay,47,1.0
innodb_api_bk_commit_interval,34,0.0
innodb_autoextend_increment,1,0.0
innodb_buffer_pool_size,65,0.07692307692307693
innodb_change_buffer_max_size,4,0.0
innodb_commit_concurrency,1,0.0
innodb_concurrency_tickets,14,0.2857142857142857
innodb_fill_factor,1,0.0
innodb_flush_log_at_timeout,24,0.20833333333333334
innodb_flushing_avg_loops,2,0.0
innodb_ft_cache_size,24,0.0
innodb_ft_max_token_size,1,0.0
innodb_ft_min_token_size,1,0.0
innodb_ft_num_word_optimize,16,0.25
innodb_ft_result_cache_limit,2,0.0
innodb_ft_total_cache_size,17,0.0
innodb_io_capacity,1,0.0
innodb_io_capacity_max,2,0.0
innodb_log_buffer_size,38,0.3157894736842105
innodb_log_file_size,57,0.17543859649122806
innodb_log_write_ahead_size,3,0.0
innodb_lru_scan_depth,12,0.5833333333333334
innodb_max_purge_lag,1,0.0
innodb_max_purge_lag_delay,8,0.0
innodb_max_undo_log_size,1,0.0
innodb_open_files,1,0.0
innodb_thread_concurrency,60,1.0
max_connections,58,0.5
innodb_sync_spin_loops,24,0.5416666666666666
innodb_max_dirty_pages_pct,11,0.36363636363636365
innodb_purge_batch_size,2,0.0
innodb_sort_buffer_size,6,0.16666666666666666
max_binlog_cache_size,5,0.0
multi_range_count,1,0.0
net_buffer_length,9,0.0
innodb_adaptive_flushing_lwm,1,0.0
default_week_format,1,0.0
