key,times,proportion
innodb_adaptive_hash_index_parts,66,0.015151515151515152
innodb_spin_wait_delay,61,0.5245901639344263
back_log,65,1.0
binlog_cache_size,54,0.05555555555555555
binlog_group_commit_sync_delay,65,0.0
binlog_group_commit_sync_no_delay_count,60,0.0
binlog_stmt_cache_size,65,0.0
bulk_insert_buffer_size,65,0.12307692307692308
connect_timeout,57,0.0
eq_range_index_dive_limit,64,0.0
group_concat_max_len,60,0.15
host_cache_size,61,0.01639344262295082
innodb_adaptive_max_sleep_delay,61,0.8524590163934426
innodb_api_bk_commit_interval,58,0.10344827586206896
innodb_buffer_pool_size,65,0.9846153846153847
innodb_ft_cache_size,54,0.0
innodb_ft_total_cache_size,53,0.8679245283018868
innodb_log_buffer_size,53,0.7169811320754716
innodb_log_file_size,65,0.5846153846153846
innodb_log_write_ahead_size,31,0.0
innodb_max_purge_lag_delay,49,0.0
innodb_thread_concurrency,60,0.6666666666666666
max_connections,56,0.4642857142857143
ft_query_expansion_limit,54,0.0
innodb_adaptive_flushing_lwm,14,0.0
innodb_change_buffer_max_size,19,0.3684210526315789
div_precision_increment,31,0.0
default_week_format,5,0.0
expire_logs_days,15,0.0
innodb_commit_concurrency,20,0.0
innodb_concurrency_tickets,16,0.0
innodb_flush_log_at_timeout,32,0.0
innodb_flushing_avg_loops,1,0.0
innodb_ft_num_word_optimize,22,0.18181818181818182
innodb_ft_result_cache_limit,2,0.0
innodb_io_capacity_max,22,0.0
innodb_lru_scan_depth,18,0.0
innodb_purge_batch_size,5,0.0
innodb_sort_buffer_size,15,0.0
max_error_count,7,0.2857142857142857
innodb_sync_spin_loops,2,0.0
innodb_autoextend_increment,5,0.2
flush_time,3,0.0
ft_min_word_len,4,0.5
innodb_ft_min_token_size,4,0.5
innodb_max_purge_lag,3,0.0
innodb_max_undo_log_size,2,0.0
innodb_thread_sleep_delay,1,0.0
innodb_open_files,1,0.0
key_cache_age_threshold,1,0.0
max_heap_table_size,1,0.0
innodb_old_blocks_time,1,0.0
innodb_replication_delay,1,0.0
