key,times,proportion
innodb_adaptive_hash_index_parts,66,0.0
innodb_spin_wait_delay,65,1.0
back_log,40,0.4
binlog_cache_size,55,0.6545454545454545
binlog_group_commit_sync_delay,29,0.0
binlog_group_commit_sync_no_delay_count,26,0.0
binlog_stmt_cache_size,35,0.0
bulk_insert_buffer_size,50,0.0
connect_timeout,10,0.0
div_precision_increment,4,0.25
eq_range_index_dive_limit,30,0.13333333333333333
expire_logs_days,1,0.0
ft_query_expansion_limit,8,0.0
group_concat_max_len,21,0.09523809523809523
host_cache_size,18,0.0
innodb_adaptive_max_sleep_delay,31,0.0
innodb_api_bk_commit_interval,24,0.0
innodb_autoextend_increment,1,0.0
innodb_buffer_pool_size,65,1.0
innodb_change_buffer_max_size,1,0.0
innodb_commit_concurrency,1,0.0
innodb_concurrency_tickets,7,0.5714285714285714
innodb_fill_factor,1,0.0
innodb_flush_log_at_timeout,30,0.3
innodb_flushing_avg_loops,2,0.0
innodb_ft_cache_size,14,0.0
innodb_ft_min_token_size,1,0.0
innodb_ft_num_word_optimize,8,0.5
innodb_ft_result_cache_limit,3,0.0
innodb_ft_total_cache_size,15,0.6
innodb_io_capacity,1,0.0
innodb_io_capacity_max,1,0.0
innodb_log_buffer_size,59,0.0
innodb_log_file_size,60,0.36666666666666664
innodb_log_write_ahead_size,1,1.0
innodb_max_purge_lag_delay,4,0.0
innodb_thread_concurrency,64,0.421875
max_connections,62,0.9838709677419355
innodb_sync_spin_loops,40,0.05
innodb_max_dirty_pages_pct,17,0.23529411764705882
net_buffer_length,16,0.0
innodb_lru_scan_depth,8,0.0
max_binlog_cache_size,4,0.0
innodb_sort_buffer_size,6,0.0
